Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Object Date,Object Begin Date,Object End Date,Dimensions,Credit Line,Classification,Link Resource,Repository
6309,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6309,"Metropolitan Museum of Art, New York, NY"
6310,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6310,"Metropolitan Museum of Art, New York, NY"
6311,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6311,"Metropolitan Museum of Art, New York, NY"
6312,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6312,"Metropolitan Museum of Art, New York, NY"
6313,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6313,"Metropolitan Museum of Art, New York, NY"
6314,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6314,"Metropolitan Museum of Art, New York, NY"
6315,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6315,"Metropolitan Museum of Art, New York, NY"
6316,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6316,"Metropolitan Museum of Art, New York, NY"
6317,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6317,"Metropolitan Museum of Art, New York, NY"
6318,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6318,"Metropolitan Museum of Art, New York, NY"
